noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
outrider,4.459758216259969,2.6416041678685933,0.9603566592091892,0.9409583900892993,1.8181540483913756,1.688276491423911,1.1982167039540539,25,7
goodbye,5.919764271138041,2.671109135836927,0.7751807330182238,0.501906280620926,3.2486551353011137,2.216219544052148,2.1240963349088813,199,40
commendation,4.551070611282953,3.178439190827718,0.918629445858103,0.8589355408887461,1.3726314204552352,1.4318570650702866,1.406852770709485,31,13
slurp,4.816175976581404,1.3787834934861753,0.83688446989986,0.8699155297736259,3.4373924830952283,3.4930618181422943,1.8155776505007002,54,3
fancy,6.390305901403289,3.601669335057121,0.8344384215290808,0.6349434532716711,2.7886365663461676,1.7742622397905223,1.8278078923545962,202,51
shouting,5.608455229563952,4.219528282299547,0.8423366010666298,0.9327888781648348,1.3889269472644052,1.329166403052872,1.7883169946668511,101,23
dram,3.2788788174870866,3.169925001442312,0.7352683251793058,1.0,0.1089538160447745,1.0343711021538997,2.323658374103471,22,9
bower,5.591540772479888,3.121928094887362,0.9319234620799813,0.9848586617875466,2.4696126775925262,1.791053670210053,1.3403826896000934,64,9
droopy,0.5225593745369408,1.0,0.5225593745369408,1.0,-0.4774406254630592,0.5225593745369408,3.387203127315296,2,2
unusualness,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
precedent,5.418476587568375,3.6031901237942394,0.8070119827032841,0.7024744222322757,1.815286463774136,1.5037998000123842,1.9649400864835793,105,35
touch,7.162948175102073,6.190196097754591,0.7143014880227447,0.747958318969889,0.972752077347482,1.157143984130056,2.4284925598862763,1044,310
samba,1.974937501201927,2.321928094887362,0.9874687506009635,1.0,-0.34699059368543517,0.8505592854277135,1.0626562469951826,4,5
basis,5.752892433882392,4.047320963106203,0.6228760929067905,0.6065741848990617,1.7055714707761895,1.4214075153227315,2.8856195354660477,603,102
teetotaler,2.9219280948873623,0.0,0.9739760316291207,0.0,2.9219280948873623,,1.1301198418543965,8,1
ascot,3.1647555835517784,0.0,0.8827862447417935,0.0,3.1647555835517784,,1.5860687762910328,12,1
attestation,2.299896391167891,1.0,0.9905114616736054,1.0,1.299896391167891,2.299896391167891,1.0474426916319732,5,2
misdeed,4.683411586817515,2.5216406363433186,0.8578569920775964,0.9755037590061086,2.1617709504741964,1.8572874815378229,1.710715039612018,44,6
rickshaw,4.055943118360758,3.321928094887362,0.9548051621702002,1.0,0.7340150234733955,1.2209605393334932,1.225974189148999,19,10
re,6.932232147953468,6.064592450436211,0.9444650974105794,0.9677356027773256,0.8676396975172569,1.143066447516164,1.2776745129471032,162,77
expiration,2.523231428797621,2.321928094887362,0.976119161532783,1.0,0.20130333391025879,1.0866966269771692,1.1194041923360851,6,5
farthing,2.6031984208555934,3.625,0.7261438356278288,0.979613309799034,-1.0218015791444066,0.7181237023049912,2.369280821860856,12,13
enhancement,6.1566717335567525,3.8961041752669607,0.8898386226784161,0.9014736223575465,2.2605675582897917,1.58021229838776,1.5508068866079197,121,20
hammerblow,1.5,1.0,0.9463946303571862,1.0,0.5,1.5,1.268026848214069,3,2
soccer,4.750940109189651,1.1930619129388929,0.8702261409358051,0.32241084947013404,3.5578781962507584,3.98214045529839,1.6488692953209747,44,13
dwarvish,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
potive,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
overspill,1.0,0.0,1.0,0.0,1.0,,1.0,2,1
yardstick,4.132795450559985,2.235926350629032,0.9728968861829121,0.9629610647945142,1.8968690999309525,1.8483593833031697,1.1355155690854393,19,5
forearm,5.467908795583371,6.7265742134768,0.6787978993120388,0.8816699164085753,-1.258665417893429,0.8128816574458255,2.606010503439806,266,198
haze,7.0715295458825915,5.226400013512604,0.7939391946016673,0.8220774300731133,1.8451295323699872,1.353040243303133,2.0303040269916637,480,82
weekly,4.89499556443747,1.584962500721156,0.8913194651380792,1.0,3.310033063716314,3.08839834520391,1.5434026743096037,45,3
lapel,5.299759198920267,4.774953167244432,0.8247029030421494,0.8972224130257612,0.5248060316758352,1.1099081003089073,1.876485484789253,86,40
flight,7.267359021805354,4.979980874259066,0.7346864064001829,0.6095503781711465,2.2873781475462875,1.459314645035983,2.3265679679990856,950,288
midst,0.8030507448682109,1.9219280948873623,0.31066243500405705,0.9609640474436811,-1.1188773500191513,0.41783599865388044,4.4466878249797155,6,4
soupy,0.863120568566631,1.0,0.863120568566631,1.0,-0.136879431433369,0.863120568566631,1.684397157166845,2,2
might,6.177272533700341,5.3024795538336775,0.8176848078672821,0.959974667799118,0.8747929798666636,1.1649780958107026,1.9115759606635891,188,46
making,3.794982481078572,4.562941640680753,0.4983751920647911,0.7724777642018755,-0.7679591596021811,0.8316964756341684,3.5081240396760447,196,60
utan,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
telekinesis,3.228741830464623,2.125814583693911,0.9333156964485556,0.8223773393621179,1.102927246770712,1.5188257034412738,1.333421517757222,11,6
ism,2.8818161598663123,1.0,0.9091117797913482,1.0,1.8818161598663123,2.8818161598663123,1.4544411010432592,9,2
whirlwind,6.165957867422359,5.049010814661722,0.8837194343679728,0.9620961420918449,1.1169470527606373,1.221220966593527,1.5814028281601358,126,38
hilt,6.333247150922928,5.115491698005553,0.8738011161364276,0.7981244628351767,1.2177554529173742,1.2380524737029985,1.6309944193178618,152,85
chirrup,3.000412998937421,1.3709505944546687,0.8673138624197787,0.8649735207179273,1.6294624044827524,2.1885639140270503,1.6634306879011065,11,3
tropism,1.5,1.0,0.9463946303571862,1.0,0.5,1.5,1.268026848214069,3,2
blondness,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
talone,0.0,1.0,0.0,1.0,-1.0,0.0,6.0,1,2
ketchup,4.4091025417677585,3.3248629576173574,0.9272779933829396,0.9611009333744404,1.0842395841504011,1.3261005334569886,1.363610033085302,27,11
widen,2.0,0.0,0.8613531161467861,0.0,2.0,,1.6932344192660693,5,1
swelling,6.447244849309461,4.983509544792603,0.9181012759468424,0.9301840729678283,1.4637353045168586,1.2937157622275155,1.409493620265788,130,41
